id	name	rating
6168	Angels' Share Shiraz	4.0
1496698	Latitude Champagne	4.1
8184	Palazzo della Torre	4.0
4820908	Châteauneuf-du-Pape Sélection	4.1
5402364	Reserva	4.0
5568937	Suadens Campania Bianco	4.1
1166687	Alentejano Monte da Peceguina Branco	3.9
1604779	Cauquenina (Viñas Viejas de Cauquenes)	3.8
1238945	Triple C Red Blend	4.2
4277988	O Luar do Sil Valdeorras Godello Sobre Lias	4.0
78383	Barbera d'Alba Zio Nando	4.0
3851587	Moonlight Race Pinot Noir	4.0
1275606	Martin Alsina Malbec	4.0
11824	Nebbiolo d’alba	3.9
5864576	Muscat	4.2
5398794	Lago Cerqueira Rosé	4.0
2727638	Zapallar Coast Sauvignon Blanc	4.0
83439	Pomerol	3.9
1313212	Signos de Origen Syrah	4.0
8190	La Poja (Monovitigno Corvina Veronese)	4.3
72624	Costasera Amarone della Valpolicella Classico Riserva	4.3
1501598	Tiraziš Syrah	4.1
74578	Gran Reserva Malbec	3.9
1243390	Varietales Maturana Rioja	3.9
1188236	Pommard 'Clos des Ursulines' (Monopole)	4.1
1134068	Saint-Émilion Grand Cru (Grand Cru Classé)	3.9
1385596	Amancaya Gran Reserva Malbec - Cabernet Sauvignon	3.9
2774263	Red	4.6
2102081	Espiritu de Apalta	4.3
96483	Quelen Special Selection	4.3
738148	Clos de L'Obac	4.4
76429	Scala Coeli Tinto	4.4
6919813	Reserva Tinto	4.4
1240855	Nico Malbec	4.6
14847	Zambujeiro	4.5
2430168	Pieve Santa Restituta Rennina Brunello di Montalcino	4.5
77304	Brunate  Barolo	4.4
5264080	Vinhas da Princesa Branco	4.5
8100038	Red King Rezerva	4.5
8386496	Letra A Touriga Nacional	4.5
1265560	Initial Public Offer 1st Edition	4.5
94686	Pinot Noir En Famille	4.5
2034907	Clon De La Familia	4.6
1298038	Clos Mesorah	4.3
1182177	Quinta da Touriga-Chã Douro	4.4
1134660	Casa Real Cabernet Sauvignon	4.2
1099392	Vintage Port	4.4
1126922	El Incidente Carménère	4.3
7102277	Reserva	4.4
94678	Chardonnay Ma Douce	4.5
1165304	Vintage Port	4.4
6755215	Grande Reserva	4.4
1155880	Rioja Gran Reserva	4.2
779086	Châteauneuf-du-Pape	4.1
1239572	Syrah - Viognier	4.1
8998	Douro Reserva Redoma Branco	4.3
7169656	Terroir Selection Teroldego	4.2
4925607	Boa-Vista Reserva	4.3
75818	Giusto di Notri Toscana	4.2
1181746	Amarone della Valpolicella Classico Lena di Mezzo	4.2
2929415	Grand Cru Sagrada Familia	4.4
1084452	Generations Cabernet Sauvignon	4.4
100492	Clos de la Coulée de Serrant	4.3
8967	Douro Batuta Tinto	4.3
2277346	La Fleur De Rocheyron Saint Emilion Grand Cru	4.1
16505	Merlot	4.2
1151960	Brunello di Montalcino	4.3
1744245	Monte Rosso Vineyard Cabernet Sauvignon	4.4
1211977	Zahir Cabernet Sauvignon	4.3
1136951	Herú Pinot Noir	3.9
2636560	Cabernet Sauvignon Limited Edition	4.0
1261327	Inedito Cabernet Sauvignon - Merlot	4.2
1099538	Pomerol	4.3
1100670	Caro	4.3
7173006	Terroir Selection Malbec	4.2
4858897	Cuvée Pitigaia	4.5
1189822	Colheita Porto	4.3
7650016	Massetino	4.6
1639263	The Reserve Cabernet Sauvignon - Shiraz	4.4
6847952	Edição do Enólogo Red Blend	4.3
86684	Brut Champagne	4.6
4848	Overture	4.5
12393	Amarone della Valpolicella Classico	4.4
1107336	ARTEMIS Cabernet Sauvignon	4.4
1129440	Old Vines Primitivo di Manduria	4.4
6139455	Limited Edition 10 Vendemmie	4.5
11890	60 Sessantanni Old Vines Primitivo di Manduria	4.5
77171	Ribera del Duero	4.5
68854	Cabernet Franc Alta	4.3
1139434	Tinto	4.4
79836	La Grande Dame Brut Champagne	4.5
43974	Bramare Malbec Lujan de Cuyo	4.4
11001	Castillo Ygay Gran Reserva Especial Tinto	4.5
1488696	30 Year Old Tawny Port	4.5
4837001	Grand Cru Apalta	4.4
4682277	Bramare Los Arbolitos Vineyard Chardonnay	4.4
1154226	Amarone della Valpolicella Classico	4.3
1497062	Parcela Única Escolha	4.3
1220973	Gernot Langes	4.5
16786	Barsac (Premier Grand Cru Classé)	4.4
23264	Brunello di Montalcino	4.3
4011850	Finca Canal Uco	4.4
5424625	Cabernet Franc	4.4
3185120	Brunello di Montalcino	4.3
81849	Pomerol	4.4
1751269	Touriga Nacional	4.4
1100254	Saint-Émilion Grand Cru (Grand Cru Classé)	4.2
1098770	Pomerol	4.4
1258524	Ultra Premium Syrah	4.3
76372	Colheita Port	4.3
1282785	Barolo del Comune di Serralunga d'Alba	4.2
28214	5 Stelle Sfursat	4.5
62594	Matallana	4.2
6663622	Bernardeschi Governo	4.1
1101112	Saint-Estèphe	3.9
1421499	Touriga Nacional Douro Grande Reserva	4.2
1680069	Châteauneuf-du-Pape Blanc	4.1
1214055	Douro Reserva	4.2
3982829	Scapà Amarone della Valpolicella	4.3
24109	Gevrey-Chambertin	4.1
97228	Chardonnay Piemonte  Monteriolo	4.1
1201765	Syrah	4.1
2749108	Extra Brut	4.1
82825	Meron	4.1
1188603	Clos du Chapitre Rully Premier Cru	4.1
1379045	Reserva Tinto	4.0
91182	Pommard 1er Cru 'Les Pézerolles'	4.3
7496719	Gran Reserva Tannat	4.2
4280269	10 Years Old Tawny Port	4.2
24104	Côte de Beaune	4.0
86699	Blanc Fumé de Pouilly	4.2
1929640	Vinha da Neve Tinto	3.9
1871502	Brunate Barolo	4.2
1234476	Tacco Barocco Negroamaro	3.8
1873252	La Tiare du Pape Châteauneuf-du-Pape Blanc	4.1
1874097	Garrafeira Tinto	4.1
1218054	Ribera del Duero Antiguos Vinedos	4.0
4585882	Passo del Sud Appassimento	4.1
1166785	Saint-Julien (Grand Cru Classé)	4.1
11825	Barbera d’Alba	4.0
33734	Chianti Classico Riserva	4.1
87426	Pessac-Léognan (Grand Cru Classé)	4.0
22687	La Réserve de Leoville Barton Saint-Julien	4.0
77783	Bosc D'la Rei Moscato d'Asti	4.1
736563	Ribera del Duero Crianza	4.0
7599543	Anniversary	4.1
3120288	Grus de Alcohuaz Mezcla Tinta	4.0
1591615	Barolo	4.0
1152839	Reserve Merlot (Barrel Selection)	3.8
1160653	Convento da Tomina	4.0
74704	RPF Tannat	3.8
83265	Yarden Chardonnay	3.9
1181021	Clos Gebrat	3.9
7103767	Arcane IX Les Amoureux	4.1
12687	Haut-Médoc (Grand Cru Classé)	4.0
18556	L'Hospitalet de Gazin Pomerol	4.1
1610104	El Sueño Gran Reserva Carmenère	3.9
4386455	Blend de Blancas	4.1
7921976	A Mare Rosato	4.1
1984740	Amarone della Valpolicella	4.0
17607	Homage Syrah	4.2
1972035	Givry 'Les Dracy'	4.1
96853	Venus	4.1
1139122	Reserva	4.1
1190881	Brunello di Montalcino Riserva	4.1
2203544	Finca Perdriel Vineyard Selection	4.1
16963	Reserva Branco	3.9
4320448	Aluvional Altamira	4.4
1508325	Aria Fronsac	4.1
1232315	Saint-Émilion Grand Cru (Grand Cru Classé)	4.1
1478434	Bairrada Classico Baga	4.2
1577086	Block G+I	4.2
1483199	Aristos Barón d'A	4.1
6767359	Las Pizarras Syrah	4.2
1136945	Vintage Port	4.3
4948910	Las Pizarras Pinot Noir	4.1
1706136	Domaine des Berthiers Pouilly-Fumé	4.1
7384096	Brunello di Montalcino	4.3
5460938	Barolo	4.0
1210000	Baron K Riesling Kabinett	4.0
5257272	Vinhas Velhas Branco	4.2
1260063	Carlos Montes Tannat	3.9
1799282	Solstício	4.2
1268547	Special	4.3
79230	Vosne-Romanée 1er Cru 'Les Chaumes'	4.3
1181122	Vertice	4.2
1225820	Barolo Bussia Vigneto Bofani	4.2
1178520	Saint-Émilion Grand Cru	4.0
1202284	Terroir Rosé Brut	4.2
1204799	Atteca Armas Garnacha Old Vines	4.2
6844296	Gran Reserva Chardonnay	4.1
2795428	Ícone Alentejo Tinto	4.3
1300776	Gran Assemblage	4.3
52104	Finca Los Nobles Chardonnay	4.1
779372	Vosne-Romanée 1er Cru Les Orveaux	4.2
1771193	Heytesbury Chardonnay	4.2
1314907	Alvarinho	4.2
1487856	Conde d'Ervideira Private Selection Branco	4.3
1241866	Tannat	4.1
778938	Saint-Émilion Grand Cru (Grand Cru Classé)	4.0
1178254	Nuits-Saint-Georges	3.9
1594281	Maria de Lourdes Branco	4.2
1861100	Barolo Sarmassa Vigna Merenda	4.2
5043352	Alto do Joa Tinto	4.2
8675341	Gran Reserva Blanco	4.4
1652478	Amarone della Valpolicella Classico	4.2
1473611	Côte-Rôtie La Turque	4.6
1322600	Vinha da Ponte	4.6
1253819	Douro Pintas Tinto	4.4
52044	Icono	4.6
94690	La Proportion Dorée	4.5
1127808	Oenothèque Brut Champagne	4.7
1274124	Montrachet Grand Cru Marquis de Laguiche	4.6
7122486	Grande Cuvée Brut Champagne	4.6
68824	Malbec Alta	4.5
5078	Sassicaia	4.6
1652	Tignanello	4.5
3125433	Gran Enemigo Single Vineyard Gualtallary Cabernet Franc	4.6
5095201	Nicola Catena Parcela Bonarda	4.6
1668659	Reserva Malbec	4.0
2047676	Malbec	4.4
1172025	Martinet Bru (Garnatxa - Syrah)	4.1
8430212	30 Años Edicion Limitada Cabernet Sauvignon	4.2
8429888	Reserva Cabernet Franc	4.2
1229949	Montmains Chablis 1er Cru	4.1
16966	Touriga Nacional	4.0
1382222	Clos Mireille Rosé (Coeur de Grain)	4.2
1209142	Villa-Lobos Gran Reserva Cabernet Sauvignon	4.0
1160459	Ca'Marcanda Vistamare Toscana	4.1
84775	Barolo Cannubi	4.3
1247801	Franciacorta Gran Cuvée Satèn	4.2
1099897	Colli di Salerno Rosso	4.1
50644	Seleccion de Añada Albariño Rías Baixas	4.3
1243856	Grande Reserva Red	4.2
1197391	23 Barricas Touriga Nacional - Syrah Alentejano	4.3
1909654	Siete (7) Viñas Reserva Rioja	4.1
1126475	Alentejano Moon Harvested	4.3
1169521	Tinto Reservado	4.3
1707338	Amat Tannat	4.1
1155153	Barolo	4.0
6885700	Bramare Chardonnay	4.2
1100223	Pomerol	4.4
1208731	Branco Reservado	4.4
1244339	Primo	4.3
4833990	Monte do Desespero Reserva Black Label	4.3
1255075	Löwengang Chardonnay	4.2
1531840	Dúvida	4.5
1279827	Mayacaba Malbec	4.2
1774164	Gran Reserva Etiqueta Azul Red Blend	4.2
23111	Ribera Del Duero Gran Reserva	4.3
2320500	Amarone della Valpolicella	4.3
1153455	Gran Corte (VII)	4.4
5745097	Adrianna Vineyard White Stones Chardonnay	4.4
1148839	La Chapelle de La Mission Haut-Brion Pessac-Léognan	4.2
779426	Giorgio Primo	4.3
1678759	Silicum Rosso	4.2
1262192	Pinot Noir - Pinot Noir	4.2
3465952	Humanitas Reserva	4.4
1103309	Condrieu Chery	4.3
4656426	Crasto Superior Syrah	4.3
1724156	Ca'Marcanda Bolgheri	4.3
76439	Tinto	4.3
13689	Château Giscours (Grand Cru Classé)	4.2
43984	Bramare Cabernet Sauvignon	4.3
14362	Pauillac (Grand Cru Classé)	4.3
68884	Cabernet - Cabernet	4.3
1126740	Gran Reserva	4.1
1216549	Pequeñas Producciones Malbec	4.3
9710	Brunello di Montalcino	4.3
5445749	Extra Brut Extra Old Champagne	4.3
22448	Le Serre Nuove	4.3
79262	Pauillac (Grand Cru Classé)	4.4
86732	Expresivo	4.2
16508	Cabernet - Malbec	4.1
2816622	Pequeñas Producciones Cabernet Sauvignon	4.2
24056	Bin 389 Cabernet - Shiraz	4.2
1675	Pian delle Vigne Brunello di Montalcino	4.3
84287	Châteauneuf-du-Pape	4.2
1115658	Saint-Julien (Grand Cru Classé)	4.3
9587389	Cocodrilo Corte	4.3
3783366	Saperavi	4.4
1548080	Principal Grande Reserva Bairrada	4.5
1524704	VIK	4.6
77558	Finca Bella Vista Malbec	4.5
48314	Lota	4.5
1835	Amarone della Valpolicella Classico	4.4
71274	Purple Angel	4.4
5441683	Gran Enemigo Single Vineyard El Cepillo Cabernet Franc	4.5
1238441	30 Year Old Tawny Port	4.5
6020	Pavillon Rouge du Château Margaux	4.4
8039	Incógnito	4.5
1926899	Mendoza	4.4
66314	Zinfandel	4.4
3971055	Dal 1947 Primitivo di Manduria	4.5
1226177	Domus Aurea Cabernet Sauvignon	4.4
76432	Évora Reserva Tinto	4.3
81848	Saint-Julien (Grand Cru Classé)	4.4
1165601	Châteauneuf du Pape	4.0
1723060	Syrah	4.0
1207249	Coma Vella Priorat	4.1
3933104	Purgatori Costers del Segre	4.2
5017165	Signature Rosé	4.1
3652602	La Atalaya del Camino	4.1
1288101	Chablis	4.0
1279440	Chianti Classico Riserva	3.9
1759418	Burn Cottage Vineyard Pinot Noir	4.2
1174924	Vinho Verde Branco	3.9
61134	Barolo	4.0
7294675	Red Blend	4.2
65114	Rubesco Vigna Monticchio Torgiano Rosso Riserva	4.1
2694869	Pequeñas Producciones Cabernet Franc	4.1
6004174	Cabernet Sauvignon	4.1
1625562	Quinta Generación (5th) White	4.1
1251797	Legno Chardonnay	4.1
1181214	Saint-Julien (Grand Cru Classé)	4.1
4273459	Petit Grand Vin Malbec - Malbec	4.2
7103	Amarone della Valpolicella Classico	4.3
1152435	Rosé Brut Champagne	4.3
1155355	20 Year Old Tawny Port	4.3
3030441	Blend de Tintas	4.2
1137736	Demi-Sec Champagne	4.3
7973	Viña Ardanza Reserva	4.2
2342297	Cabernet Franc	4.3
74338	Old Vine Malbec	4.2
1510255	Eremo San Quirico	4.2
1272950	Chardonnay	4.3
7493	Selección Especial (Reserva)	4.2
1128831	M Blend	4.2
1291873	Reserva Vinhas Velhas	4.3
2816521	Primitivo di Manduria	4.2
1098912	Brunello di Montalcino	4.3
