id,black_fruit,citrus_fruit,dried_fruit,earth,floral,microbio,non_oak,oak,red_fruit,spices,tree_fruit,tropical_fruit,vegetal
1201912,1,,,,,,,1,1,,,,
1202284,,1,,,,1,,,1,,,,
1202326,,1,,,,,1,,,,1,,
1202838,1,,,,,,,1,1,,,,
1202931,1,,,1,,,,1,,,,,
1204549,1,,,,,,,1,1,,,,
1204799,1,,,,,,,1,1,,,,
1205108,,,,1,,,,1,,,1,,
1206659,,,,1,,,,1,1,,,,
1206918,,,,1,,,,1,1,,,,
1207034,1,,,1,,,,1,,,,,
1207249,1,,,1,,,,1,,,,,
1207710,,,,1,,,,1,1,,,,
1207965,1,,,1,,,,1,,,,,
1208156,,1,,,,,,,,,1,1,
1208656,1,,,,,,,1,,1,,,
1208731,,1,,,,,,1,,,1,,
1208798,,,,1,,,,1,1,,,,
1209142,1,,,,,,,1,,1,,,
1209244,1,,,1,,,,1,,,,,
1209398,1,,,1,,,,1,,,,,
1209490,,,1,1,,,1,,,,,,
1210000,,1,,1,,,,,,,1,,
1210090,1,,,1,,,,1,,,,,
1211971,,,,,,1,,1,,,1,,
1211973,1,,,,,,,1,1,,,,
1211977,1,,,,,,,1,1,,,,
1212620,,,,,,,,1,1,1,,,
1212857,1,,,,,,,1,,1,,,
1213299,,,,1,,,,1,1,,,,
1213336,,,1,,,,1,1,,,,,
1214055,1,,,,,,,1,1,,,,
1214739,1,,,,,,,1,1,,,,
1214878,,,,1,,,,1,,,1,,
1215346,1,,,1,,,,1,,,,,
1215768,1,,,1,,,,1,,,,,
1216431,,,,1,,,,1,1,,,,
1216549,1,,,1,,,,1,,,,,
1216556,,1,,1,,,,,,,1,,
1216921,,,,1,,,,1,,,1,,
1217235,1,,,1,,,,1,,,,,
1218054,1,,,1,,,,1,,,,,
1220057,,1,,,,,,,1,,1,,
1220273,1,,,1,,,,1,,,,,
1220405,1,,,1,,,,1,,,,,
1220504,,,,1,,,1,1,,,,,
1220973,1,,,,,,,1,,1,,,
1222575,1,,,1,,,,1,,,,,
1222979,,,,1,,,,1,1,,,,
